8359 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 8 ms
8370 [Test worker] INFO  c.t.c.c.CalculatorControllerMockServiceTest - Started CalculatorControllerMockServiceTest in 0.416 seconds (JVM running for 9.142)
8475 [Test worker] INFO  c.t.c.c.CalculatorController - 5 + 2 = 0
8497 [Test worker] INFO  c.t.c.c.CalculatorController - 5 / 2 = 0
8503 [Test worker] INFO  c.t.c.c.CalculatorController - 5 - 2 = 0
8509 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tw.calculator.controller.CalculatorControllerTest], using SpringBootContextLoader
8510 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.tw.calculator.controller.CalculatorControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
8514 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
8514 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2261924f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3155a7e0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@211c23e9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3e7f2ad7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10a224bd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@cd4fbee, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c1782f6, org.springframework.test.context.event.EventPublishingTestExecutionListener@b793031, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@a7f7a2f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@215feb05, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@51afcdea, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@13958756, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@624a3909, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3c13e186]
8536 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - Starting CalculatorControllerTest on Pranalis-MacBook-Pro.local with PID 5104 (started by pranali in /Users/pranali/Desktop/calculator)
8536 [Test worker] DEBUG c.t.c.c.CalculatorControllerTest - Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
8536 [Test worker] INFO  c.t.c.c.CalculatorControllerTest - The following profiles are active: test
8687 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
8694 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 1 JPA repository interfaces.
8717 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
8765 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:ba5ddf1c-d70d-4576-9d8c-dee11a93e383;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
8807 [Test worker] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
8819 [task-1] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
8823 [task-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
8847 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8848 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
8889 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
9055 [Test worker] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:ba5ddf1c-d70d-4576-9d8c-dee11a93e383'
9089 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
